t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659629366666555e+09,4.781229301398931542e-05,-6.517520835473256113e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629383333445e+09,-4.439315093509998977e-02,-6.515396390333489762e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629400000095e+09,-1.065255064069979413e-01,-6.513343648441444600e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629416666746e+09,-1.519691735079195805e-01,-6.510426682233777740e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629433333397e+09,-1.955923699899564938e-01,-6.511274158637239395e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629450000048e+09,-2.502179653379855706e-01,-6.512677502998546686e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629466666698e+09,-2.918930601268119873e-01,-6.511641626381226899e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629483333349e+09,-3.350747766741061229e-01,-6.509696296089141754e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629500000000e+09,-3.719182783398963799e-01,-6.508544871296462020e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629516666651e+09,-3.863355078645535623e-01,-6.507104158307497244e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629533333302e+09,-3.931638100131468749e-01,-6.507445430398966835e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629549999952e+09,-4.004618343748151399e-01,-6.512150950548010542e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629566666603e+09,-3.963993863543157636e-01,-6.510026111976725360e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629583333254e+09,-3.162828938306528337e-01,-6.507978657881059803e+01,4.068918952613702739e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.077067925410428871e-06
1.772659629599999905e+09,-2.270924958308030983e-01,-6.508215924736680336e+01,3.953077843642492797e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.960994817213688630e-06
1.772659629616666555e+09,-1.343674543484718598e-01,-6.507438717680442153e+01,3.939059837104755960e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.946948736301585270e-06
1.772659629633333445e+09,-4.970390091037438229e-02,-6.506449756523981875e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629650000095e+09,2.554949505609616089e-02,-6.506074520367212699e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
